max_d,max_p,months_since,sizerank,state,city,growth_rate,pop2010,pop2014
"20060501T000000",268200,39,1624,MN,Chaska,4.26934,23821,24838
"20070801T000000",171100,54,498,CT,New Britain,-0.494265,73240,72878
"20070501T000000",161500,51,1808,AZ,Somerton,4.05415,14331,14912
"20070801T000000",260800,54,210,GA,Cumming,2.95196,5454,5615
"20060201T000000",589300,37,767,CT,Fairfield,2.82021,919506,945438
"20080401T000000",151500,62,2791,VA,Rocky Mount,0.334588,4782,4798
"20060801T000000",191800,42,3338,GA,Pooler,15.6737,19236,22251
"20071101T000000",290900,57,4742,CT,East Haddam,0.0328803,9124,9127
"20040901T000000",95000,20,4025,IN,West Terre Haute,-0.49173,2237,2226
"20061101T000000",195600,45,3647,GA,Sharpsburg,2.63158,342,351
"20051101T000000",413100,34,3119,MA,Medway,3.12084,12785,13184
"20070201T000000",150000,49,2165,PA,Coolbaugh,-1.58383,20583,20257
"20051101T000000",112300,34,2257,IN,Decatur,3.10959,32448,33457
"20070901T000000",377100,55,1019,GA,Dunwoody,3.62918,46319,48000
"20071101T000000",320900,57,1112,MA,Amherst,2.75926,38706,39774
"20051001T000000",349700,32,2928,MA,Seekonk,6.83207,13744,14683
"20051001T000000",383100,32,2485,MA,Ashland,4.13233,16625,17312
"20060301T000000",235500,37,2708,CT,Montville,0.342396,19568,19635
"20070501T000000",350300,51,995,MO,Chesterfield,0.591629,47496,47777
"20070701T000000",203900,53,36,CO,Colorado Springs,6.03513,420455,445830
"20051001T000000",385600,32,4283,MA,Millis,2.50601,7901,8099
"20051101T000000",343700,34,3170,RI,Lincoln,1.84203,21118,21507
"20051001T000000",300700,32,2553,MA,Swansea,1.72588,15876,16150
"20050201T000000",82600,25,4509,IN,Washington,15.3928,33074,38165
"20080301T000000",215800,61,4488,PA,Longswamp,0.0351989,5682,5684
"20050501T000000",143000,27,4383,MI,Marine City,-1.72251,4238,4165
"20090701T000000",199500,77,1095,MT,Kalispell,7.91374,19940,21518
"20050901T000000",390500,32,497,MA,Somerville,4.15011,75757,78901
"20070401T000000",400700,50,2651,CT,Avon,1.39814,18167,18421
"20060601T000000",282200,40,1364,MN,Andover,4.35407,30661,31996
"20061001T000000",315400,44,1715,GA,Suwanee,17.7493,15426,18164
"20070101T000000",236800,48,1980,MN,Champlin,2.97321,23140,23828
"20071101T000000",189000,57,4528,PA,Delaware,1.03026,1553,1569
"20070801T000000",302000,54,57,AK,Anchorage,2.61576,293337,301010
"20070101T000000",548000,48,2509,AZ,Sedona,2.28833,10051,10281
"20051001T000000",395800,32,1598,MA,Danvers,3.52107,26526,27460
"20060801T000000",231300,42,4909,MN,Becker,5.37479,4856,5117
"20051001T000000",278200,32,2383,VT,Colchester,1.58359,17113,17384
"20051001T000000",288800,32,400,MA,Lynn,1.81784,90492,92137
"20070501T000000",245000,51,1867,MO,Webster Groves,0.870095,22986,23186
"20061201T000000",298200,46,3944,PA,Perkiomen,1.115,9148,9250
"20090701T000000",142400,77,3039,IN,Monticello,-0.649712,5387,5352
"20061101T000000",154400,45,455,GA,Newnan,8.5352,33356,36203
"20080301T000000",153400,61,2959,MO,Washington,0.286123,13980,14020
"20050201T000000",243400,25,2985,MI,Wixom,1.80741,13500,13744
"20061201T000000",224600,46,4202,OR,La Pine,5.38415,1653,1742
"20060901T000000",253300,43,4679,OR,Florence,0.448748,8468,8506
"20060401T000000",240600,38,396,MN,Bloomington,3.94769,83036,86314
"20060101T000000",431000,36,1098,VA,Manassas,9.94096,38276,42081
"20050701T000000",125600,29,919,MI,Roseville,0.634276,47298,47598
"20090601T000000",193800,76,375,WY,Cheyenne,5.00944,59847,62845
"20070201T000000",252000,49,2646,AZ,Show Low,1.3746,10694,10841
"20080201T000000",77100,61,3371,PA,Munhall,-0.850728,11402,11305
"20050601T000000",285800,28,1632,MI,South Lyon,3.27103,11342,11713
"20061101T000000",140900,45,373,GA,Lithonia,3.73832,1926,1998
"20071101T000000",303100,57,2317,GA,Decatur,4.95957,19417,20380
"20051201T000000",78700,34,13,MI,Detroit,-4.35113,711195,680250
"20071101T000000",118800,57,2951,MI,Allegan,2.09852,111507,113847
"20070801T000000",144300,54,4791,PA,Clifton Heights,0.255601,6651,6668
"20051001T000000",138100,32,3539,MI,Paw Paw,-1.30868,7030,6938
"20060301T000000",314300,37,854,CT,Stratford,2.48168,51457,52734
"20070901T000000",161500,55,270,GA,Gainesville,7.25871,33849,36306
"20080501T000000",257500,63,843,AK,Fairbanks,2.38065,31714,32469
"20050701T000000",67600,29,211,MI,Flint,-3.11968,102190,99002
"20060701T000000",247300,41,4143,CT,Griswold,-0.351229,11958,11916
"20071201T000000",164400,58,2513,PA,New Cumberland,-0.151057,7282,7271
"20051201T000000",606100,34,2036,VA,Haymarket,9.91643,1795,1973
"20080501T000000",121200,63,2964,IN,Corydon,0,3123,3123
"20060301T000000",704700,37,595,VA,Vienna,4.45516,15757,16459
"20090501T000000",264300,75,1792,AK,Palmer,8.65577,5996,6515
"20070501T000000",302400,51,4951,OR,Lincoln City,1.37505,7927,8036
"20070101T000000",148800,48,4571,MO,Pevely,2.10871,5501,5617
"20050301T000000",157300,25,306,MO,Columbia,7.03815,109219,116906
"20070501T000000",245500,51,4979,PA,Ambler,0.962135,6444,6506
"20070601T000000",330200,52,3977,CT,Burlington,2.80193,9315,9576
"20060601T000000",381600,40,2011,RI,South Kingstown,0.483629,30602,30750
"20061001T000000",137500,44,490,GA,Covington,4.02649,13138,13667
"20061101T000000",271500,45,4692,CT,Woodstock,-1.30588,7964,7860
"20060901T000000",150100,43,2588,GA,Locust Grove,4.95122,5433,5702
"20051201T000000",315200,34,870,MA,Revere,4.43527,51857,54157
"20070501T000000",354600,51,1180,MO,Wildwood,0.770832,35546,35820
"20040901T000000",125800,20,2399,MI,Wayne,-1.51,2649,2609
"20060401T000000",314900,38,163,VA,Fredericksburg,17.1875,24192,28350
"20060501T000000",270300,39,1673,MN,Shoreview,4.42929,25083,26194
"20060601T000000",305700,40,3588,RI,Warren,-0.981502,10596,10492
"20080501T000000",228700,63,4365,PA,East Earl,3.40439,6521,6743
"20070301T000000",282100,49,2853,MO,Dardenne Prairie,10.752,11542,12783
"20060401T000000",265900,38,624,MN,Maple Grove,8.327,61799,66945
"20090701T000000",163400,77,554,ND,Bismarck,11.975,61528,68896
"20080501T000000",146600,63,2352,IN,Griffith,-2.21433,16890,16516
"20071001T000000",175700,56,4689,OR,Sutherlin,-0.652758,7813,7762
"20070201T000000",285200,49,1682,MN,Savage,8.18579,26998,29208
"20050301T000000",106100,25,3687,IN,Beech Grove,2.17529,14205,14514
"20050801T000000",122100,30,2627,IN,Greencastle,0.523865,10308,10362
"20060301T000000",314700,37,67,AZ,Chandler,7.43088,236688,254276
"20070901T000000",216400,55,3958,OR,Stayton,2.56209,7650,7846
"20060401T000000",236100,38,1442,CT,Naugatuck,-0.711911,31886,31659
"20060601T000000",381800,40,1258,MA,Shrewsbury,2.58568,35658,36580
"20050701T000000",387600,29,3738,MA,Mashpee,0.328501,14003,14049
"20070601T000000",192100,52,4331,MO,Brentwood,-0.111773,8052,8043
"20051101T000000",417800,34,2311,RI,Newport,-0.962024,83158,82358
"20080801T000000",149400,66,371,GA,Valdosta,2.88316,55009,56595
