max_d,max_p,months_since,sizerank,state
"20061001T000000",133900,44,3503,GA
"20060801T000000",274900,42,3504,NJ
"20060301T000000",236100,37,3505,WI
"20061101T000000",224700,45,3506,MD
"20060801T000000",562600,42,3507,FL
"20060801T000000",498700,42,3508,NY
"20060301T000000",489100,37,3509,CA
"20070201T000000",46100,49,3510,MI
"20060801T000000",225800,42,3511,OH
"20071101T000000",114000,57,3512,OH
"20061201T000000",114600,46,3513,FL
"20060801T000000",351700,42,3514,CA
,nan,nan,3515,CA
"20070301T000000",849500,49,3516,NY
"20090701T000000",149200,77,3517,KS
"20060601T000000",530800,40,3518,NJ
"20060801T000000",312600,42,3519,PA
"20070901T000000",145800,55,3520,PA
"20060801T000000",127400,42,3521,OH
"20060801T000000",273100,42,3522,CA
,nan,nan,3523,TX
"20060501T000000",296500,39,3524,NJ
"20070401T000000",292700,50,3525,OH
"20080701T000000",129900,65,3526,NC
"20060901T000000",126200,43,3527,OH
"20060601T000000",316200,40,3528,HI
"20070501T000000",318100,51,3529,MD
"20060801T000000",383600,42,3530,NJ
"20060901T000000",530900,43,3531,CA
"20070701T000000",157900,53,3532,TN
"20080201T000000",104700,61,3533,OH
"20070601T000000",202700,52,3534,IL
"20071001T000000",203600,56,3535,PA
"20070301T000000",275600,49,3536,MD
"20060701T000000",531700,41,3537,NJ
"20081101T000000",134000,70,3538,AL
"20051001T000000",138100,32,3539,MI
"20080101T000000",54400,59,3540,NY
"20060101T000000",268800,36,3541,MA
"20070501T000000",415200,51,3542,NJ
"20071001T000000",152600,56,3543,WI
"20040801T000000",140200,18,3544,MI
"20090701T000000",206700,77,3545,NC
"20080101T000000",306100,59,3546,UT
"20060801T000000",84100,42,3547,TX
"20071001T000000",125200,56,3548,TN
"20070201T000000",200300,49,3549,OH
,nan,nan,3550,WV
"20060301T000000",133200,37,3551,OH
"20060601T000000",849200,40,3552,NJ
"20080301T000000",373000,61,3553,WA
"20060901T000000",385600,43,3554,NJ
"20060801T000000",352600,42,3555,NJ
"20060901T000000",223500,43,3556,NJ
"20061101T000000",149200,45,3557,SC
"20060201T000000",377000,37,3558,FL
"20070801T000000",211000,54,3559,NC
"20060601T000000",164800,40,3560,OH
"20070401T000000",161100,50,3561,WI
"20070501T000000",141300,51,3562,TN
"20070501T000000",244900,51,3563,MO
"20090401T000000",71500,74,3564,TN
"20080101T000000",463800,59,3565,NJ
,nan,nan,3566,MO
"20051201T000000",313800,34,3567,MA
"20040901T000000",69400,20,3568,TX
"20060401T000000",1.2067e+06,38,3569,NJ
"20060401T000000",140400,38,3570,AL
"20070101T000000",106300,48,3571,TX
"20080501T000000",290500,63,3572,UT
"20051201T000000",553400,34,3573,CA
"20070701T000000",196100,53,3574,PA
"20060801T000000",194800,42,3575,FL
"20060101T000000",568700,36,3576,NJ
"20060401T000000",187300,38,3577,MI
"20070601T000000",207000,52,3578,PA
"20070601T000000",161600,52,3579,FL
"20071101T000000",202500,57,3580,FL
"20070201T000000",248300,49,3581,PA
"20071001T000000",116500,56,3582,SC
"20060801T000000",218800,42,3583,WI
"20071001T000000",137800,56,3584,NY
"20060401T000000",267500,38,3585,FL
,nan,nan,3586,TN
"20060301T000000",556700,37,3587,NJ
"20060601T000000",305700,40,3588,RI
"20060401T000000",305800,38,3589,MA
"20080501T000000",188600,63,3590,PA
"20060701T000000",306300,41,3591,MD
"20071101T000000",136300,57,3592,PA
"20070201T000000",308600,49,3593,MN
"20050401T000000",245800,26,3594,VT
